Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
2068.6882800000008,-73.7498436429187,2068.6882800000008,-90.59463595558314
2090.9322400000005,-74.50804991107412,2090.9322400000005,-91.60229644208302
2113.1762000000003,-75.2479235323385,2113.1762000000003,-92.57470752808536
2135.42016,-75.9699336177145,2135.42016,-93.51372774725282
2157.66412,-76.67454370288308,2157.66412,-94.42108080383775
2179.9080799999997,-77.36221055833015,2179.9080799999997,-95.29836781357373
2202.1520399999995,-78.03338323694048,2202.1520399999995,-96.14707822681603
2224.3959999999993,-78.68850232231405,2224.3959999999993,-96.96859959726207
2246.639959999999,-79.3279993466369,2246.639959999999,-97.76422633672102
2268.883919999999,-79.95229635164094,2268.883919999999,-98.535167577101
2291.1278799999986,-80.56180557015811,2291.1278799999986,-99.28255424443111
2313.3718399999984,-81.15692920913393,2313.3718399999984,-100.00744543583984
2335.615799999998,-81.7379557550422,2335.615799999998,-100.71083304383527
2357.859759999998,-82.30537771472135,2357.859759999998,-101.3936482514175
2380.103719999998,-82.85956622411088,2380.103719999998,-102.0567673339689
2402.3476799999976,-83.40088228263144,2402.3476799999976,-102.70101469045946
2424.5916399999974,-83.92967683967112,2424.5916399999974,-103.32716674125366
2446.835599999997,-84.44629091478696,2446.835599999997,-103.93595547688639
2469.079559999997,-84.9510557453647,2469.079559999997,-104.52807169380257
2491.3235199999967,-85.44429295640626,2491.3235199999967,-105.10416794886616
2513.5674799999965,-85.9263147479074,2513.5674799999965,-105.66486126079617
2535.8114399999963,-86.39742409596617,2535.8114399999963,-106.21073558350606
2558.055399999996,-86.857914964344,2558.055399999996,-106.74234407354066
2580.299359999996,-87.30807252369912,2580.299359999996,-107.26021117136813
2602.5433199999957,-87.74817337613906,2602.5433199999957,-107.76483451414452
2624.7872799999955,-88.17848578310509,2624.7872799999955,-108.25668669568762
2647.0312399999953,-88.59926989491575,2647.0312399999953,-108.7362168877379
2669.275199999995,-89.01077798056585,2669.275199999995,-109.20385233512123
2691.519159999995,-89.41325465660886,2691.519159999995,-109.65999973613323
2713.7631199999946,-89.80693711414895,2713.7631199999946,-110.10504651831857
2736.0070799999944,-90.19205534313883,2736.0070799999944,-110.53936201880082
2758.251039999994,-90.56883235332549,2758.251039999994,-110.96329857741436
2780.494999999994,-90.93748439131086,2780.494999999994,-111.37719255008471
2802.7389599999938,-91.29822115330121,2802.7389599999938,-111.78136524918573
2824.9829199999936,-91.65124599321038,2824.9829199999936,-112.17612381696188
2847.2268799999933,-91.99675612585997,2847.2268799999933,-112.56176203753044
2869.470839999993,-92.33494282508626,2869.470839999993,-112.93856109246556
2891.714799999993,-92.66599161661955,2891.714799999993,-113.30679026450636
2913.9587599999927,-92.9900824656502,2913.9587599999927,-113.6667075935182
2936.2027199999925,-93.30738995903575,2936.2027199999925,-114.01856048846508
2958.4466799999923,-93.61808348213752,2958.4466799999923,-114.36258629881715
2980.690639999992,-93.92232739030442,2980.690639999992,-114.6990128485159
3002.934599999992,-94.22028117504442,3002.934599999992,-115.02805893534853
