Type,Value,Type,Value
Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA,Data Source,no_rad_maybe : TMD : THESISINTEGRATEDTESTNORA
Element,1,Element,2
,,,
,,,
Time[s],Temperature,Time[s],Temperature
2046.444320000001,-75.89258105965749,2046.444320000001,-90.5224055314852
2068.6882800000008,-76.61452902308996,2068.6882800000008,-91.57982487014311
2090.9322400000005,-77.31646809599138,2090.9322400000005,-92.59863613327381
2113.1762000000003,-77.99903732277566,2113.1762000000003,-93.58087900734043
2135.42016,-78.66285629459433,2135.42016,-94.52844528863368
2157.66412,-79.30852511018946,2157.66412,-95.44309244001627
2179.9080799999997,-79.93662447707673,2179.9080799999997,-96.326455662619
2202.1520399999995,-80.54771592422159,2202.1520399999995,-97.18005867049098
2224.3959999999993,-81.14234210243828,2224.3959999999993,-98.00532332929943
2246.639959999999,-81.72092128772388,2246.639959999999,-98.8035771375497
2268.883919999999,-82.28407356784662,2268.883919999999,-99.5760623151635
2291.1278799999986,-82.83228676794965,2291.1278799999986,-100.32394389218385
2313.3718399999984,-83.36603161719941,2313.3718399999984,-101.04831471862393
2335.615799999998,-83.88576225099716,2335.615799999998,-101.75020116245227
2357.859759999998,-84.39191672522077,2357.859759999998,-102.43056826751017
2380.103719999998,-84.88491753654309,2380.103719999998,-103.09032443063757
2402.3476799999976,-85.36517214400432,2402.3476799999976,-103.73032564991941
2424.5916399999974,-85.83307348795601,2424.5916399999974,-104.35137938961921
2446.835599999997,-86.28900050327437,2446.835599999997,-104.95424810188509
2469.079559999997,-86.73331862438936,2469.079559999997,-105.53965244056691
2491.3235199999967,-87.16638028021335,2491.3235199999967,-106.10827419836231
2513.5674799999965,-87.5885253774987,2513.5674799999965,-106.66075899492415
2535.8114399999963,-88.0000817715223,2535.8114399999963,-107.19771874043563
2558.055399999996,-88.40136572329939,2558.055399999996,-107.71973389642682
2580.299359999996,-88.79268234277953,2580.299359999996,-108.22735555321401
2602.5433199999957,-89.17432601768347,2602.5433199999957,-108.72110734124321
2624.7872799999955,-89.5465808278077,2624.7872799999955,-109.20148719177323
2647.0312399999953,-89.90972094476017,2647.0312399999953,-109.66896896070759
2669.275199999995,-90.26401101720158,2669.275199999995,-110.12400392794933
2691.519159999995,-90.60970654175506,2691.519159999995,-110.56702218338351
2713.7631199999946,-90.94705421981739,2713.7631199999946,-110.99843390946891
2736.0070799999944,-91.27629230056034,2736.0070799999944,-111.41863056942317
2758.251039999994,-91.59765091045307,2758.251039999994,-111.82798600909975
2780.494999999994,-91.91135236966817,2780.494999999994,-112.22685747986661
2802.7389599999938,-92.21761149575778,2802.7389599999938,-112.61558658909371
2824.9829199999936,-92.51663589500151,2824.9829199999936,-112.994500184229
2847.2268799999933,-92.8086262418383,2847.2268799999933,-113.36391117588144
2869.470839999993,-93.0937765467992,2869.470839999993,-113.72411930482761
2891.714799999993,-93.37227441335986,2891.714799999993,-114.07541185740787
2913.9587599999927,-93.6443012841283,2913.9587599999927,-114.41806433337402
2936.2027199999925,-93.91003267678002,2936.2027199999925,-114.7523410698868
2958.4466799999923,-94.16963841014487,2958.4466799999923,-115.07849582503454
2980.690639999992,-94.42328282084237,2980.690639999992,-115.39677232394938
3002.934599999992,-94.67112497085192,3002.934599999992,-115.70740477033155
